Name	Current price	Original price	Link	Rating	Rate Count
Laptop Gaming ASUS TUF Gaming A15 FA507NUR-LP101W (Ryzen 7 7435HS, RTX 4050 6GB, RAM 16GB DDR5, SSD 512GB, 15.6 Inch IPS FHD 144Hz 100% sRGB, Win 11)	Liên hệ	Not on discount	https://memoryzone.com.vn/laptop-gaming-asus-tuf-gaming-a15-fa507nur-lp101w	0	0
Laptop Lenovo Yoga Slim 7 14Q8X9 (Snapdragon X Elite X1E-78-100, Adreno, RAM 32GB LPDDR5X, SSD 1TB, 14.5 Inch OLED 3K 90Hz, 100% DCI-P3)	Liên hệ	Not on discount	https://memoryzone.com.vn/laptop-lenovo-yoga-slim-7-14q8x9	0	0
Laptop Lenovo ThinkPad X13S GEN 1 21BX0017VN (Snapdragon 8cx Gen 3, Adreno 690, RAM 16GB LPDDR4X, SSD 512GB, 13.3 Inch IPS WUXGA 60Hz 100% sRGB)	Liên hệ	Not on discount	https://memoryzone.com.vn/laptop-lenovo-thinkpad-x13s-gen-1-21bx0017vn-qualcomm-snapdragon-8cx-gen-3	0	0
Laptop HP 14s-dq5122TU 8W356PA (i3-1215U, UHD Graphics, RAM 8GB DDR4, SSD 256GB, 14 Inch FHD 60Hz, Win 11)	9.990.000 VND	10.990.000 VND	https://memoryzone.com.vn/laptop-hp-15s-dq5122tu-8w356pa	0	0
Laptop Acer Aspire 3 A314-23M-R4TX (Ryzen 5 7520U, Radeon Graphics, RAM 8GB LPDDR5, SSD 512GB, 14 Inch IPS FHD 60Hz 100% sRGB, Win 11)	10.490.000 VND	13.290.000 VND	https://memoryzone.com.vn/laptop-acer-aspire-3-a314-23m-r4tx	0	0
Laptop Lenovo V14 G3 IAP 82TS005YVN (i5-1235U, Iris Xe Graphics, Ram 8GB DDR4, SSD 512GB, 14 Inch IPS FHD, Win 11)	10.990.000 VND	13.990.000 VND	https://memoryzone.com.vn/laptop-lenovo-v14-g3-iap-82ts005yvn	5	1
Laptop Asus Vivobook 15 X1504VA-NJ069W (i3-1315U, UHD Graphics, Ram 8GB DDR4, SSD 512GB, 15.6 Inch IPS FHD 60Hz, Win 11)	11.090.000 VND	13.690.000 VND	https://memoryzone.com.vn/laptop-asus-vivobook-15-x1504va-nj069w	5	3
Laptop Lenovo Ideapad Slim 3 14IAH8 83EQ0004VN (i5-12450H, UHD Graphics, RAM 8GB LPDDR5, SSD 512GB, 14.0 Inch IPS FHD 60Hz, Win 11)	11.990.000 VND	14.990.000 VND	https://memoryzone.com.vn/laptop-lenovo-ideapad-slim-3-14iah8-83eq0004vn	0	0
Laptop HP 240 G9 6L1X5PA (i3-1215U, UHD Graphics, Ram 4GB DDR4, SSD 256GB, 14 Inch IPS FHD 60Hz)	11.990.000 VND	12.990.000 VND	https://memoryzone.com.vn/laptop-hp-240-g9-6l1x5pa	0	0
Laptop Dell Inspiron 15 3530 N3530-i3U085W11BLU (i3-1305U, UHD Graphics, Ram 8GB DDR4, SSD 512GB, 15.6 Inch IPS 120Hz FHD, Win11/Office HS 21)	11.990.000 VND	16.890.000 VND	https://memoryzone.com.vn/laptop-dell-inspiron-15-3530-n3530-i3u085w11blu	5	1
Laptop Lenovo V14 G4 IRU 83A0A09KVN (i5-13420H, UHD Graphics, RAM 16GB DDR4, SSD 512GB, 14 Inch IPS FHD 60Hz, Win 11)	12.990.000 VND	13.490.000 VND	https://memoryzone.com.vn/laptop-lenovo-v14-g4-iru-83a0a09kvn	5	1
Laptop MSI Modern 14 C12MO-660VN (i5-1235U, Iris Xe Graphics, Ram 16GB DDR4, SSD 512GB, 14 Inch IPS FHD 60Hz, Win 11)	12.990.000 VND	14.990.000 VND	https://memoryzone.com.vn/laptop-msi-modern-14-c12mo-660vn	5	2
Laptop Lenovo V15 G4 IRU 83A10006VN (i5-1335U, Iris Xe Graphics, Ram 16GB DDR4, SSD 512GB, 15.6 Inch IPS FHD, Win 11)	13.290.000 VND	16.590.000 VND	https://memoryzone.com.vn/laptop-lenovo-v15-g4-iru-83a10006vn	0	0
Laptop Lenovo V15 G4 IRU 83A100F3VN (i5-13420H, RAM 8GB DDR4, SSD 512GB, 15.6 Inch IPS FHD 60Hz, Win 11)	13.490.000 VND	14.190.000 VND	https://memoryzone.com.vn/laptop-lenovo-v15-g4-iru-83a100f3vn	0	0
Laptop ASUS Expertbook B1 B1502CVA-NJ0050W (i5-1335U, UHD Graphics, RAM 8GB DDR4, SSD 512GB, 15.6 Inch TN FHD 60Hz)	13.490.000 VND	15.490.000 VND	https://memoryzone.com.vn/laptop-asus-expertbook-b1-b1502cva-nj0050w-i5-1335h-uhd-graphics-ram-8gb-ddr4-ssd-512gb-15-6-inch-tn-fhd-60hz	0	0
Laptop Asus ExpertBook B1 B1402CVA-NK0062W (i5-1335U, UHD Graphics, Ram 8GB DDR4, SSD 512GB, 14 Inch TN FHD 60Hz, Win 11)	13.490.000 VND	19.590.000 VND	https://memoryzone.com.vn/laptop-asus-expertbook-b1-b1402cva-nk0062w	0	0
Laptop Dell Inspiron 15 3520 N3520-i5U085W11BLU (i5-1235U, Iris Xe Graphics, Ram 8GB DDR4, SSD 512GB, 15.6 Inch IPS FHD 60Hz, Win 11/Office HS 21)	13.790.000 VND	18.790.000 VND	https://memoryzone.com.vn/laptop-dell-inspiron-15-3520-n3520-i5u085w11blu	5	1
Laptop Asus Vivobook 16 M1605YA-MB303W (Ryzen 7 7730U, Radeon Graphics, Ram 16GB DDR4, SSD 512GB, 16 Inch IPS WUXGA 60Hz)	13.990.000 VND	18.490.000 VND	https://memoryzone.com.vn/laptop-asus-vivobook-16-m1605ya-mb303w	0	0
Laptop HP 240 G9 6L1Y2PA (i5-1235U, Iris Xe Graphics, Ram 8GB DDR4, SSD 512GB, 14 Inch IPS FHD 60Hz, Win 11)	13.990.000 VND	18.590.000 VND	https://memoryzone.com.vn/laptop-hp-240-g9-6l1y2pa	0	0
Laptop MSI Modern 15 B7M-238VN (Ryzen 7 7730U, Radeon Graphics, Ram 16GB DDR4, SSD 512GB, 15.6 Inch IPS FHD)	13.990.000 VND	16.990.000 VND	https://memoryzone.com.vn/laptop-msi-modern-15-b7m-238vn	0	0
Laptop MSI Modern 14 C13M-608VN (i5-1335U, Iris Xe Graphics, Ram 16GB DDR4, SSD 512GB, 14 Inch IPS FHD 60Hz, Win 11)	13.990.000 VND	18.490.000 VND	https://memoryzone.com.vn/laptop-msi-modern-14-c13m-608vn	0	0
Laptop Asus Vivobook 15X OLED M3504YA-L1268W (Ryzen 5 7530U, Radeon Graphics, RAM 16GB DDR4, SSD 512GB, 15.6 Inch OLED FHD 60Hz 100% DCI-P3)	14.690.000 VND	18.990.000 VND	https://memoryzone.com.vn/laptop-asus-vivobook-15x-oled-m3504ya-l1268w	0	0
Laptop Dell Vostro 3420 V4I5702W1 (Core i5-1235U, UHD Graphics, RAM 8GB DDR4, SSD 512GB, 14 Inch WVA FHD 60Hz, Win11/Office HS 21)	14.990.000 VND	16.290.000 VND	https://memoryzone.com.vn/laptop-dell-vostro-3420-v4i5702w1	0	0
Laptop Acer Aspire 5 A514-56P-562P NX.KHRSV.008 (i5-1335U, UHD Graphics, Ram 8GB LPDDR5, SSD 512GB, 14 Inch IPS WUXGA 60Hz, Win 11)	14.990.000 VND	15.990.000 VND	https://memoryzone.com.vn/laptop-acer-aspire-5-a514-56p-562p-nx-khrsv-008	0	0
Laptop Dell Vostro 3520 V3520-i5U165W11GRU-KYHD (i5-1235U, Iris Xe Graphics, RAM 16GB DDR4, SSD 512GB, 15.6 Inch WVA FHD 120Hz, Win 11/Office HS 21)	15.290.000 VND	18.990.000 VND	https://memoryzone.com.vn/laptop-dell-vostro-3520-v3520-i5u165w11gru-kyhd	0	0
Laptop Lenovo Ideapad Slim 3 15ABR8 82XM00EHVN (Ryzen 7 7730U, Radeon Graphics, RAM 16GB DDR4, SSD 512GB, 15.6 Inch IPS FHD 60Hz, Win 11)	15.390.000 VND	16.390.000 VND	https://memoryzone.com.vn/laptop-lenovo-ideapad-slim-3-15abr8-82xm00ehvn	0	0
Laptop HP 15s-FQ5144TU 7C0R8PA (i7-1255U, Iris Xe Graphics, RAM 16GB DDR4, SSD 512GB, 15.6 Inch FHD 60Hz, Win 11)	15.490.000 VND	22.890.000 VND	https://memoryzone.com.vn/laptop-hp-15s-fq5144tu-7c0r8pa	0	0
Laptop Lenovo Ideapad Slim 3 14IAH8 83EQ0009VN (i5-12450H, UHD Graphics, Ram 16GB LPDDR5, SSD 1TB, 14 Inch IPS FHD 60Hz, Win 11)	15.490.000 VND	16.490.000 VND	https://memoryzone.com.vn/laptop-lenovo-ideapad-slim-3-14iah8-83eq0009vn	0	0
Laptop Lenovo Ideapad Slim 3 15IAH8 83ER000FVN (i5-12450H, UHD Graphics, RAM 16GB LPDDR5, SSD 1TB, 15.6 Inch IPS FHD 60Hz, Win 11)	15.590.000 VND	16.990.000 VND	https://memoryzone.com.vn/laptop-lenovo-ideapad-slim-3-15iah8-83er000fvn	0	0
Laptop Asus Vivobook 14 X1404ZA-NK389W (i7-1255U, Iris Xe Graphics, RAM 16GB DDR4, SSD 512GB, 14 Inch IPS FHD 60Hz, Win 11)	15.690.000 VND	17.990.000 VND	https://memoryzone.com.vn/laptop-asus-vivobook-14-x1404za-nk389w	0	0
Laptop Asus Vivobook 15 X1504VA-NJ070W (i5-1335U, Iris Xe Graphics, Ram 16GB DDR4, SSD 512GB, 15.6 Inch IPS FHD 60Hz, Win 11)	15.690.000 VND	17.290.000 VND	https://memoryzone.com.vn/laptop-asus-vivobook-15-x1504va-nj070w	5	2
