Name	Current price	Original price	Link	Rating	Rate Count
Ổ cứng di động SSD 512GB Transcend ESD310 1050MB/s TS512GESD310	1.550.000 VND	1.650.000 VND	https://memoryzone.com.vn/o-cung-ssd-di-dong-512gb-transcend-esd310-1050mb-s-ts512gesd310	5	8
Ổ cứng di động SSD 1TB Kingston XS1000 1050MB/s SXS1000/1000G	1.990.000 VND	2.450.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-1tb-kingston-xs1000-1050mb-s-sxs1000-1000g	5	2
Ổ cứng di động SSD 1TB SanDisk E30 800MB/s SDSSDE30-1T00-G26	2.350.000 VND	2.690.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-1tb-sandisk-e30-800mb-s-sdssde30-1t00-g26	0	0
Ổ cứng di động SSD 1TB Transcend ESD310 1050MB/s TS1TESD310	2.490.000 VND	2.790.000 VND	https://memoryzone.com.vn/o-cung-ssd-di-dong-1tb-transcend-esd310-1050mb-s-ts1tesd310	4	10
Ổ cứng di động SSD 1TB Crucial X9 1050MB/s CT1000X9SSD9	2.550.000 VND	2.990.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-1tb-crucial-x9-1050mb-s-ct1000x9ssd9	0	0
Ổ cứng di động SSD 1TB ASUS TUF Gaming AS1000 1050MB/s AS1000/BLK/G/AS	2.650.000 VND	3.250.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-1tb-asus-tuf-gaming-as1000-1050mb-s-as1000-blk-g-as	0	0
Ổ cứng di động SSD 1TB Kingston XS2000 2000MB/s SXS2000/1000G	2.650.000 VND	3.500.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-1tb-kingston-xs2000-2000mb-s-sxs2000-1000g	0	0
Ổ cứng di động SSD 1TB Western Digital My Passport 1050MB/s WDBAGF0010B	2.790.000 VND	3.150.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-1tb-western-digital-my-passport-1050mb-s-wdbagf0010b	4	6
Ổ cứng di động SSD 1TB SanDisk Extreme V2 E61 1050MB/s SDSSDE61-1T00-G25	2.890.000 VND	3.350.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-1tb-sandisk-extreme-v2-e61-1050mb-s-sdssde61-1t00-g25	5	2
Ổ cứng di động SSD 2TB Kingston XS1000 1050MB/s SXS1000/2000G	2.990.000 VND	3.750.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-2tb-kingston-xs1000-1050mb-s-sxs1000-2000g	5	2
Ổ cứng di động SSD 1TB Samsung T7 1050MB/s MU-PC1T0	2.990.000 VND	3.590.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-1tb-samsung-t7-1050mb-s-mu-pc1t0	5	16
Ổ cứng di động SSD 1TB Transcend ESD410C 2000MB/s TS1TESD410C	3.100.000 VND	3.550.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-1tb-transcend-esd410c-2000mb-s-ts1tesd410c	0	0
Ổ cứng di động SSD 1TB Samsung T7 Shield 1050MB/s MU-PE1T0	3.250.000 VND	3.790.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-1tb-samsung-t7-shield-1050mb-s-mu-pe1t0	5	3
Ổ cứng di động SSD 1TB Samsung T9 2000MB/s MU-PG1T0	3.490.000 VND	Not on discount	https://memoryzone.com.vn/o-cung-di-dong-ssd-1tb-samsung-t9-2000mb-s-mu-pg1t0	5	2
Ổ cứng di động SSD 1TB Crucial X10 Pro 2100MB/s CT1000X10PROSSD9	3.750.000 VND	4.990.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-1tb-crucial-x10-pro-2100mb-s-ct1000x10prossd9	0	0
Ổ cứng di động SSD 2TB SanDisk E30 800MB/s SDSSDE30-2T00-G26	3.850.000 VND	4.150.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-2tb-sandisk-e30-800mb-s-sdssde30-2t00-g26	0	0
Ổ cứng di động SSD 1TB SanDisk Extreme Pro V2 E81 2000MB/s SDSSDE81-1T00-G25	3.990.000 VND	4.750.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-1tb-sandisk-extreme-pro-v2-e81-2000mb-s-sdssde81-1t00-g25	5	6
Ổ cứng di động SSD 2TB Crucial X9 1050MB/s CT2000X9SSD9	4.250.000 VND	5.250.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-2tb-crucial-x9-1050mb-s-ct2000x9ssd9	0	0
Ổ cứng di động SSD 2TB Western Digital My Passport 1050MB/s WDBAGF0020B	4.450.000 VND	4.890.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-2tb-western-digital-my-passport-1050mb-s-wdbagf0020b	5	3
Ổ cứng di động SSD 2TB SanDisk Extreme V2 E61 1050MB/s SDSSDE61-2T00-G25	4.590.000 VND	4.990.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-2tb-sandisk-extreme-v2-e61-1050mb-s-sdssde61-2t00-g25	4	5
Ổ cứng di động SSD 2TB Transcend ESD310 1050MB/s TS2TESD310	4.750.000 VND	Not on discount	https://memoryzone.com.vn/o-cung-ssd-di-dong-2tb-transcend-esd310-1050mb-s-ts2tesd310	0	0
Ổ cứng di động SSD 2TB Samsung T7 Shield 1050MB/s MU-PE2T0	5.250.000 VND	5.990.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-2tb-samsung-t7-shield-1050mb-s-mu-pe2t0	5	1
Ổ cứng di động SSD 2TB Samsung T7 1050MB/s MU-PC2T0	5.250.000 VND	5.990.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-2tb-samsung-t7-1050mb-s-mu-pc2t0	5	3
Ổ cứng di động SSD 2TB Transcend ESD410C 2000MB/s TS2TESD410C	5.400.000 VND	5.990.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-2tb-transcend-esd410c-2000mb-s-ts2tesd410c	0	0
Ổ cứng di động SSD 2TB Samsung T9 2000MB/s MU-PG2T0	5.800.000 VND	6.600.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-2tb-samsung-t9-2000mb-s-mu-pg2t0	0	0
Ổ cứng di động SSD 2TB Crucial X10 Pro 2100MB/s CT2000X10PROSSD9	5.900.000 VND	6.900.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-2tb-crucial-x10-pro-2100mb-s-ct2000x10prossd9	0	0
Ổ cứng di động SSD 2TB SanDisk Extreme Pro V2 E81 2000MB/s SDSSDE81-2T00-G25	5.990.000 VND	6.900.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-2tb-sandisk-extreme-pro-v2-e81-2000mb-s-sdssde81-2t00-g25	5	10
Ổ cứng di động SSD 4TB Crucial X6 800MB/s CT4000X6SSD9	6.600.000 VND	7.990.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-4tb-crucial-x6-800mb-s-ct4000x6ssd9	5	1
Ổ cứng di động SSD 4TB Samsung T5 EVO 460MB/s MU-PH4T0S	7.200.000 VND	9.500.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-4tb-samsung-t5-evo-460mb-s-mu-ph4t0s	0	0
Ổ cứng di động SSD 4TB Western Digital My Passport 1050MB/s WDBAGF0040B	8.150.000 VND	9.900.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-4tb-western-digital-my-passport-1050mb-s-wdbagf0040b	0	0
Ổ cứng di động SSD 4TB SanDisk Extreme V2 E61 1050MB/s SDSSDE61-4T00-G25	8.190.000 VND	9.500.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-4tb-sandisk-extreme-v2-e61-1050mb-s-sdssde61-4t00-g25	5	1
Ổ cứng di động SSD 4TB Samsung T9 2000MB/s MU-PG4T0	9.250.000 VND	11.500.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-4tb-samsung-t9-2000mb-s-mu-pg4t0	0	0
Ổ cứng di động SSD 4TB SanDisk Extreme Pro V2 E81 2000MB/s SDSSDE81-4T00-G25	9.290.000 VND	10.500.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-4tb-sandisk-extreme-pro-v2-e81-2000mb-s-sdssde81-4t00-g25	5	5
Ổ cứng di động SSD 4TB Crucial X10 Pro 2100MB/s CT4000X10PROSSD9	9.750.000 VND	10.900.000 VND	https://memoryzone.com.vn/o-cung-di-dong-ssd-4tb-crucial-x10-pro-2100mb-s-ct4000x10prossd9	0	0
