Name	Current price	Original price	Link	Rating	Rate Count
SSD Lexar 128GB NS100 2.5-Inch SATA III LNS100-128RB	370.000 VND	470.000 VND	https://memoryzone.com.vn/ssd-lexar-ns100-2-5-inch-sata-iii-128gb-lns100-128rb	5	108
SSD Lexar NS100 256GB 2.5-Inch SATA III LNS100-256RB	550.000 VND	690.000 VND	https://memoryzone.com.vn/ssd-lexar-ns100-256gb-2-5-inch-sata-iii-lns100-256rb	5	8
SSD Crucial 240GB BX500 3D NAND 2.5-Inch SATA III CT240BX500SSD1	590.000 VND	790.000 VND	https://memoryzone.com.vn/ssd-crucial-bx500-3d-nand-sata-iii-2-5-inch-240gb-ct240bx500ssd1	5	175
SSD Western Digital Green 240GB 2.5-Inch SATA III WDS240G3G0A	590.000 VND	730.000 VND	https://memoryzone.com.vn/ssd-western-digital-green-sata-iii-240gb	5	36
SSD PNY CS1031 M.2 PCIe Gen3 x4 NVMe 256GB M280CS1031-256-CL	600.000 VND	790.000 VND	https://memoryzone.com.vn/ssd-pny-cs1031-m-2-pcie-gen3-x4-nvme-256gb-m280cs1031-256-cl	5	3
SSD Western Digital Green 240GB M.2 2280 Sata III WDS240G3G0B	670.000 VND	Not on discount	https://memoryzone.com.vn/ssd-western-digital-green-m-2-2280-sata-iii-240gb	5	45
SSD Kioxia (TOSHIBA) Exceria 480GB 3D NAND 2.5-Inch SATA III BiCS FLASH LTC10Z480GG8	800.000 VND	990.000 VND	https://memoryzone.com.vn/ssd-kioxia-toshiba-exceria-3d-nand-sata-iii-bics-flash-2-5-inch-480gb-ltc10z480gg8	5	25
SSD Lexar NS100 512GB 2.5-Inch SATA III LNS100-512RB	870.000 VND	1.100.000 VND	https://memoryzone.com.vn/ssd-lexar-ns100-512gb-2-5-inch-sata-iii-lns100-512rb	0	0
SSD Western Digital Green 480GB 2.5-Inch SATA III WDS480G3G0A	880.000 VND	1.050.000 VND	https://memoryzone.com.vn/ssd-western-digital-green-sata-iii-480gb-wds480g3g0a	4	7
SSD Crucial BX500 500GB 3D NAND 2.5-Inch SATA III CT500BX500SSD1	890.000 VND	1.150.000 VND	https://memoryzone.com.vn/ssd-crucial-bx500-3d-nand-2-5-inch-sata-iii-500gb-ct500bx500ssd1	5	18
