Name	Current price	Original price	Link	Rating	Rate Count
Mini PC ASRock DeskMini X300 - X300/B/BB/BOX/US	3.650.000 VND	3.990.000 VND	https://memoryzone.com.vn/may-tinh-asrock-mini-pc-deskmini-x300-x300-b-bb-box-us	5	53
Máy tính Mini PC Asus NUC 11 Essential Atlas Canyon Pentium Silver N6005 BNUC11ATKPE0000	4.350.000 VND	5.900.000 VND	https://memoryzone.com.vn/may-tinh-mini-pc-asus-nuc-11-essential-atlas-canyon-pentium-silver-n6005-bnuc11atkpe0000	4	1
Mini PC ASRock DeskMini X600 - DESKMINI-X600/BB/B/ASIA	4.490.000 VND	4.990.000 VND	https://memoryzone.com.vn/mini-pc-asrock-deskmini-x600-x600-b-bb-box-us	0	0
Mini PC ASRock DeskMini B760 - B760/B/BB/BOX/US	4.690.000 VND	5.390.000 VND	https://memoryzone.com.vn/mini-pc-asrock-deskmini-b760	0	0
"PC BASIC R5S (Ryzen 5 4600G, Vega 7 Graphics, Ram 8GB, SSD 250GB, 450W, LCD 22"", Win 11)"	6.390.000 VND	8.550.000 VND	https://memoryzone.com.vn/pc-basic-r5s	0	0
PC ST-MERCURY R5S (Ryzen 5 4600G, Radeon Graphics, Ram 8GB, SSD 500GB, 450W, Win 11)	6.850.000 VND	Not on discount	https://memoryzone.com.vn/pc-st-mercury-r5s	0	0
"PC BASIC i3 (i3-12100, UHD 730 Graphics, Ram 8GB, SSD 250GB, 450W, LCD 22"", Win 11)"	6.990.000 VND	9.150.000 VND	https://memoryzone.com.vn/pc-basic-i3	0	0
"PC BASIC R5 (Ryzen 5 5600G, Vega 7 Graphics, Ram 8GB, SSD 250GB, 450W, LCD 22"", Win 11)"	7.100.000 VND	8.550.000 VND	https://memoryzone.com.vn/pc-basic-r5-ryzen-5-5600g	0	0
PC Gaming Esports R54 (Ryzen 5 4600G, Radeon Graphics, Ram 16GB, SSD 500GB, 450W, Win 11)	7.290.000 VND	7.590.000 VND	https://memoryzone.com.vn/pc-gaming-esports-r54	0	0
PC ST-MERCURY i3 (i3-12100, UHD 730 Graphics, Ram 8GB, SSD 500GB, 450W, Win 11)	7.450.000 VND	Not on discount	https://memoryzone.com.vn/pc-st-mercury-i3	0	0
PC ST-MERCURY R5 (Ryzen 5 5600G, Radeon Graphics, Ram 8GB, SSD 500GB, 450W, Win 11)	7.650.000 VND	Not on discount	https://memoryzone.com.vn/pc-st-mercury-r5	0	0
"PC BASIC i5 (i5-12400, UHD 730 Graphics, Ram 8GB, SSD 250GB, 450W, LCD 22"", Win 11)"	7.890.000 VND	9.150.000 VND	https://memoryzone.com.vn/pc-basic-i5-i5-12400	0	0
Mini PC ASRock DeskMini X300 ST-AX34600G (Ryzen 5 4600G, Ram 16GB DDR4, SSD 512GB, Win 11)	7.890.000 VND	8.500.000 VND	https://memoryzone.com.vn/mini-pc-asrock-deskmini-x300-st-ax34600g	0	0
PC ST-MERCURY i5 (i5-12400, UHD 730 Graphics, Ram 8GB, SSD 500GB, 450W, Win 11)	8.350.000 VND	8.990.000 VND	https://memoryzone.com.vn/pc-st-mercury-i5	0	0
Mini PC ASRock DeskMini B760 i3-12100 (Intel Core i3-12100, Ram DDR4, SSD 512GB, Win 11)	8.590.000 VND	Not on discount	https://memoryzone.com.vn/mini-pc-asrock-deskmini-b760-i3-12100	0	0
PC Gaming Esports R5 MINI (Ryzen 5 5600G, Radeon Graphics, Ram 16GB, SSD 500GB, 500W, Win 11)	8.690.000 VND	9.500.000 VND	https://memoryzone.com.vn/pc-gaming-r5-mini	5	4
PC Gaming Esports R5 (Ryzen 5 5600G, Radeon Graphics, Ram 16GB, SSD 500GB, 500W, Win 11)	8.690.000 VND	8.990.000 VND	https://memoryzone.com.vn/pc-gaming-r5	5	3
Mini PC ASRock DeskMini X300 ST-AX35600G (Ryzen 5 5600G, Ram 16GB DDR4, SSD 512GB, Win 11)	8.690.000 VND	9.490.000 VND	https://memoryzone.com.vn/pc-deskmini-x300-st-ax35600g	5	21
Máy bộ Lenovo ThinkCentre neo 50t Gen 4 12JB001CVA (i3-13100, UHD 730, Ram 4GB, SSD 256GB, USB Keyboard & Mouse)	8.990.000 VND	10.490.000 VND	https://memoryzone.com.vn/may-bo-lenovo-thinkcentre-neo-50t-gen-4-12jb001cva	0	0
PC ST-MERCURY R7 (Ryzen 7 5700G, Radeon Graphics, Ram 8GB, SSD 500GB, 500W, Win 11)	9.390.000 VND	Not on discount	https://memoryzone.com.vn/pc-st-mercury-r7	5	1
Máy tính Mini PC Asus NUC 12 Pro Wall Street Canyon i5-1240P RNUC12WSHI50002	9.550.000 VND	11.990.000 VND	https://memoryzone.com.vn/may-tinh-mini-pc-asus-nuc-12-pro-wall-street-canyon-i5-1240p-rnuc12wshi50002	0	0
"PC ST-HOMEWORK i3 (i3-12100, UHD 730 Graphics, Ram 8GB, SSD 500GB, 550W, LCD 24"")"	9.890.000 VND	10.290.000 VND	https://memoryzone.com.vn/pc-st-homework-i3	0	0
PC Gaming PANO I3-1650 ( i3-12100F, GTX 1650 4GB, RAM 8GB, SSD 250GB, 450W )	9.990.000 VND	10.490.000 VND	https://memoryzone.com.vn/pc-pano-i3-1650	0	0
Mini PC ASRock DeskMini B760 i5-12400 (Intel Core i5-12400, Ram DDR4, SSD 512GB. Win 11)	10.190.000 VND	Not on discount	https://memoryzone.com.vn/mini-pc-asrock-deskmini-b760-i5-12400	0	0
PC Gaming Esports R7 MINI (Ryzen 7 5700G, Radeon Graphics, Ram 16GB, SSD 500GB, 500W, Win 11)	10.390.000 VND	10.990.000 VND	https://memoryzone.com.vn/pc-gaming-r7-mini	0	0
Mini PC ASRock DeskMini X300 ST-AX35700G (Ryzen 7 5700G, Ram 16GB DDR4, SSD 512GB, Win 11)	10.390.000 VND	11.300.000 VND	https://memoryzone.com.vn/pc-deskmini-x300-st-ax35700g	5	8
Máy bộ HP 280 Pro G9 SFF 8U8D8PA (i3-13100, UHD 730, Ram 8GB, SSD 256GB, Windows 11 SL, USB Keyboard & Mouse)	10.790.000 VND	13.990.000 VND	https://memoryzone.com.vn/may-bo-hp-280-pro-g9-sff-8u8d8pa	0	0
Máy bộ HP Pavilion TP01-4018d 8X3R4PA (i3-13100, UHD 730, Ram 8GB, SSD 256GB, Windows 11 SL, USB Keyboard & Mouse)	11.390.000 VND	11.990.000 VND	https://memoryzone.com.vn/may-bo-hp-pavilion-tp01-4018d-8x3r4pa	0	0
Mini PC ASRock DeskMini X600 ST-AX8500G (Ryzen 5 8500G, Ram DDR5, SSD 500GB, Win 11)	11.490.000 VND	13.490.000 VND	https://memoryzone.com.vn/mini-pc-asrock-deskmini-x600-st-ax8500g	0	0
PC Gaming Esports i3-1650 (i3-12100F, GTX 1650 4GB OC, Ram 16GB, SSD 500GB, 450W, Win 11)	11.490.000 VND	11.990.000 VND	https://memoryzone.com.vn/pc-gaming-i3-1650	0	0
PC GAMING MSI i3-1650 (i3-12100F, GTX 1650 OC 4G, Ram 16GB, SSD 500GB, 650W)	11.990.000 VND	12.590.000 VND	https://memoryzone.com.vn/pc-gaming-msi-i3-1650	0	0
Máy bộ Lenovo ThinkCentre neo 50t Gen 4 12JB001HVA (i5-13400, UHD 730, Ram 8GB, SSD 512GB, USB Keyboard & Mouse)	12.690.000 VND	13.990.000 VND	https://memoryzone.com.vn/may-bo-lenovo-thinkcentre-neo-50t-gen-4-12jb001hva	0	0
PC GAMING CORSAIR i3 1650 (i3-12100F, GTX 1650 4G, Ram 16GB DDR4, SSD 512G, 550W)	12.790.000 VND	Not on discount	https://memoryzone.com.vn/pc-gaming-corsair-i3-1650	0	0
Mini PC ASRock DeskMini B760 i5-14500 (Intel Core i5-14500, Ram DDR4, SSD 512GB, Win 11)	12.990.000 VND	Not on discount	https://memoryzone.com.vn/mini-pc-asrock-deskmini-b760-i5-14500-1	0	0
Mini PC ASRock DeskMini X600 ST-AX8600G (Ryzen 5 8600G, Ram DDR5, SSD 500GB, Win 11)	13.150.000 VND	13.490.000 VND	https://memoryzone.com.vn/mini-pc-asrock-deskmini-x600-st-ax8600g	0	0
PC Gaming PANO I5-3050 ( i5-12400F, RTX 3050 6GB, RAM 16GB, SSD 512GB, 500W )	13.290.000 VND	Not on discount	https://memoryzone.com.vn/pc-pano-i5	0	0
Máy tính Mini PC Asus NUC 13 Pro Desk Edition Arena Canyon i5-1340P RNUC13VYKI50006	13.450.000 VND	15.500.000 VND	https://memoryzone.com.vn/may-tinh-mini-pc-asus-nuc-13-pro-desk-edition-arena-canyon-i5-1340p-rnuc13vyki50006	0	0
Máy bộ HP 280 Pro G9 SFF 8U8E0PA (i5-13500, UHD 770, Ram 8GB, SSD 256GB, Windows 11 SL, USB Keyboard & Mouse)	13.690.000 VND	15.990.000 VND	https://memoryzone.com.vn/may-bo-hp-280-pro-g9-sff-8u8e0pa	0	0
PC Gaming PANO R5-6600 WHITE ( R5-4600G, RX 6600 8GB, RAM 16GB, SSD 512GB, 650W )	13.890.000 VND	Not on discount	https://memoryzone.com.vn/pc-gaming-pano-r5-6600-white	0	0
Mini PC ASRock DeskMeet X600 ST-AX8600G (Ryzen 5 8600G, Ram DDR5, SSD 500GB, Win 11)	13.990.000 VND	14.590.000 VND	https://memoryzone.com.vn/mini-pc-asrock-deskmeet-x600-st-ax8600g	0	0
Máy bộ HP 280 Pro G9 SFF 8U8E1PA (i5-13500, UHD 770, Ram 8GB, SSD 512GB, Windows 11 SL, USB Keyboard & Mouse)	13.990.000 VND	15.690.000 VND	https://memoryzone.com.vn/may-bo-hp-280-pro-g9-sff-8u8e1pa-i5-13500-uhd-770-ram-8gb-ssd-512gb-windows-11-sl-usb-keyboard-mouse	0	0
Mini PC ASRock DeskMini B760 i5-14500 (Intel Core i5-14500, Ram 32GB DDR4, SSD 1TB, Win 11)	13.990.000 VND	14.950.000 VND	https://memoryzone.com.vn/mini-pc-asrock-deskmini-b760-i5-14500	0	0
PC GAMING MSI i3-3050 (i3-12100F, RTX 3050 OC 8G, Ram 16GB DDR4, SSD 500GB, 650W)	13.990.000 VND	14.590.000 VND	https://memoryzone.com.vn/pc-gaming-msi-i3-3050	0	0
Máy bộ Dell Vostro 3020T 6FM7X11 (i5-13400, UHD 730, Ram 8GB DDR4, SSD 512GB, Windows 11, USB Keyboard & Mouse)	14.190.000 VND	17.990.000 VND	https://memoryzone.com.vn/may-bo-dell-vostro-3020t-6fm7x11	5	1
Máy bộ HP Pavilion TP01-4010d 8C5T2PA (i5-13400, UHD 730, Ram 8GB, SSD 256GB, Windows 11 SL, USB Keyboard & Mouse)	14.390.000 VND	15.190.000 VND	https://memoryzone.com.vn/may-bo-hp-pavilion-tp01-4010d-8c5t2pa	0	0
Máy bộ HP M01-F3006d 8C5S2PA (i5-13400, UHD 730, Ram 8GB, 512GB SSD, USB Keyboard & Mouse)	14.390.000 VND	17.990.000 VND	https://memoryzone.com.vn/may-bo-hp-m01-f3006d-8c5s2pa	0	0
Máy bộ HP 280 Pro G9 SFF 9H1S6PT (i5-13500, UHD 770, RAM 16GB, SSD 512GB, Windows 11 SL, USB Keyboard & Mouse)	14.490.000 VND	15.690.000 VND	https://memoryzone.com.vn/may-bo-hp-280-pro-g9-sff-9h1s6pt	0	0
Máy tính Mini PC Asus NUC 12 Pro Wall Street Canyon i7-1260P RNUC12WSHi70000	14.600.000 VND	16.500.000 VND	https://memoryzone.com.vn/may-tinh-mini-pc-asus-nuc-12-pro-wall-street-canyon-i7-1260p-rnuc12wshi70000	0	0
Máy bộ Dell Vostro 3020SFF SFFI52018W1-16G-512G (i5-13400, UHD 730, RAM 16GB DDR4, SSD 512GB, Win 11, USB Keyboard & Mouse)	14.690.000 VND	Not on discount	https://memoryzone.com.vn/may-bo-dell-vostro-3020sff-sffi52018w1-16g-512g	0	0
Máy bộ Dell Vostro 3020SFF 42VT3020SFF0004 (i5-13400, UHD 730, Ram 8GB DDR4, SSD 512GB, Windows 11, USB Keyboard & Mouse)	14.690.000 VND	17.990.000 VND	https://memoryzone.com.vn/may-bo-dell-vostro-3020sff-42vt3020sff0004	0	0
PC GAMING MSI i5-3050 (i5-12400F, RTX 3050 OC 8G, Ram 16GB DDR4, SSD 500GB, 650W)	14.990.000 VND	15.990.000 VND	https://memoryzone.com.vn/pc-gaming-msi-i5-3050	0	0
PC GAMING CORSAIR i5 3050 (i5-12400F, RTX 3050 6G, Ram 16G, SSD 512G, 550W)	14.990.000 VND	Not on discount	https://memoryzone.com.vn/pc-gaming-corsair-i5-3050	0	0
