Name	Current price	Original price	Link	Rating	Rate Count
Thẻ Nhớ MicroSDHC SanDisk Ultra 32GB 100MB/s 667x SDSQUNR-032G-GN3MN	100.000 VND	130.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-sandisk-ultra-32gb-100mb-s-667x-sdsqunr-032g-gn3mn	5	15
Thẻ Nhớ MicroSDXC SanDisk Ultra 64GB 100MB/s 667x SDSQUNR-064G-GN3MN	140.000 VND	170.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-sandisk-ultra-64gb-100mb-s-667x-sdsqunr-064g-gn3mn	5	18
Thẻ Nhớ MicroSDXC Samsung EVO Plus U1 64GB 130MB/s MB-MC64KA	145.000 VND	180.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-samsung-evo-plus-u3-64gb-130mb-s-mb-mc64ka	0	0
Thẻ nhớ SDHC SanDisk Ultra 32GB 120MB/s SDSDUN4-032G-GN6IN	150.000 VND	180.000 VND	https://memoryzone.com.vn/the-nho-sdhc-sandisk-ultra-32gb-120mb-s-sdsdun4-032g-gn6in	5	1
Thẻ nhớ MicroSDXC SanDisk Ultra A1 64GB 140MB/s SDSQUAB-064G-GN6MN	160.000 VND	190.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-sandisk-ultra-a1-64gb-140mb-s-sdsquab-064g-gn6mn	0	0
Thẻ Nhớ MicroSDXC SanDisk Extreme V30 A2 64GB 170MB/s SDSQXAH-064G-GN6MN	190.000 VND	230.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-sandisk-extreme-v30-a2-64gb-170mb-s-sdsqxah-064g-gn6mn	5	6
Thẻ nhớ SDXC SanDisk Ultra 64GB 140MB/s SDSDUNB-064G-GN6IN	200.000 VND	230.000 VND	https://memoryzone.com.vn/the-nho-sdxc-sandisk-ultra-64gb-140mb-s-sdsdunb-064g-gn6in	0	0
Thẻ nhớ SDHC SanDisk Extreme U3 V30 32GB 100MB/s SDSDXVT-032G-GNCIN	200.000 VND	250.000 VND	https://memoryzone.com.vn/the-nho-sdhc-sandisk-extreme-u3-v30-32gb-100mb-s-sdsdxvt-032g-gncin	5	1
Thẻ Nhớ MicroSDXC SanDisk Ultra 128GB 100MB/s 667x SDSQUNR-128G-GN3MN	240.000 VND	280.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-sandisk-ultra-128gb-100mb-s-667x-sdsqunr-128g-gn3mn	0	0
Thẻ Nhớ MicroSDXC SanDisk Extreme Pro V30 A2 64GB 200MB/s SDSQXCU-064G-GN6MA	250.000 VND	305.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-sandisk-extreme-pro-v30-a2-64gb-200mb-s-sdsqxcu-064g-gn6ma	5	1
Thẻ nhớ SDXC SanDisk Extreme U3 V30 64GB 170MB/s SDSDXV2-064G-GNCIN	250.000 VND	290.000 VND	https://memoryzone.com.vn/the-nho-sdxc-sandisk-extreme-u3-v30-64gb-170mb-s-sdsdxv2-064g-gncin	5	4
Thẻ nhớ MicroSDXC SanDisk Ultra A1 128GB 140MB/s SDSQUAB-128G-GN6MN	270.000 VND	335.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-sandisk-ultra-a1-128gb-140mb-s-sdsquab-128g-gn6mn	5	1
Thẻ nhớ SDHC SanDisk Extreme Pro U3 V30 32GB 100MB/s SDSDXXO-032G-GN4IN	270.000 VND	310.000 VND	https://memoryzone.com.vn/the-nho-sdhc-sandisk-extreme-pro-u3-v30-32gb-100mb-s-sdsdxxo-032g-gn4in	0	0
Thẻ nhớ SDXC Samsung Pro Plus U3 64GB 180MB/s MB-SD64S/EU	315.000 VND	399.000 VND	https://memoryzone.com.vn/the-nho-sdxc-samsung-pro-plus-u3-64gb-180mb-s-mb-sd64s-eu	0	0
Thẻ nhớ SDXC SanDisk Extreme Pro U3 V30 64GB 200MB/s SDSDXXU-064G-GN4IN	315.000 VND	390.000 VND	https://memoryzone.com.vn/the-nho-sdxc-sandisk-extreme-pro-u3-v30-64gb-200mb-s-sdsdxxu-064g-gn4in	5	2
Thẻ Nhớ MicroSDXC Samsung EVO Plus 2024 128GB 160MB/s With SD Adapter MB-MC128SA/APC	320.000 VND	420.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-samsung-evo-plus-2024-128gb-160mb-s-with-sd-adapter-mb-mc128sa-apc	0	0
Thẻ Nhớ MicroSDXC SanDisk Extreme V30 A2 128GB 190MB/s SDSQXAA-128G-GN6MN	320.000 VND	410.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-sandisk-extreme-v30-a2-128gb-190mb-s-sdsqxaa-128g-gn6mn	0	0
Thẻ nhớ SDXC SanDisk Ultra 128GB 140MB/s SDSDUNB-128G-GN6IN	370.000 VND	410.000 VND	https://memoryzone.com.vn/the-nho-sdxc-sandisk-ultra-128gb-140mb-s-sdsdunb-128g-gn6in	5	1
Thẻ nhớ SDXC SanDisk Extreme U3 V30 128GB 180MB/s SDSDXVA-128G-GNCIN	420.000 VND	520.000 VND	https://memoryzone.com.vn/the-nho-sdxc-sandisk-extreme-u3-v30-128gb-180mb-s-sdsdxva-128g-gncin	5	4
Thẻ Nhớ MicroSDXC Samsung Pro Plus U3 A2 128GB 180MB/s With Reader MB-MD128SB/WW	430.000 VND	599.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-samsung-pro-plus-u3-a2-128gb-180mb-s-with-reader-mb-md128sb-ww	0	0
Thẻ Nhớ MicroSDXC SanDisk Extreme Pro V30 A2 128GB 200MB/s SDSQXCD-128G-GN6MA	430.000 VND	520.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-sandisk-extreme-pro-v30-a2-128gb-200mb-s-sdsqxcd-128g-gn6ma	5	3
Thẻ nhớ MicroSDXC SanDisk Ultra A1 256GB 150MB/s SDSQUAC-256G-GN6MN	460.000 VND	590.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-sandisk-ultra-a1-256gb-150mb-s-sdsquac-256g-gn6mn	5	1
Thẻ nhớ SDXC Samsung Pro Plus U3 128GB 180MB/s MB-SD128S/APC	550.000 VND	790.000 VND	https://memoryzone.com.vn/the-nho-sdxc-samsung-pro-plus-u3-128gb-180mb-s-mb-sd128s-apc	0	0
Thẻ nhớ SDXC SanDisk Extreme Pro U3 V30 128GB 200MB/s SDSDXXD-128G-GN4IN	550.000 VND	690.000 VND	https://memoryzone.com.vn/the-nho-sdxc-sandisk-extreme-pro-u3-v30-128gb-200mb-s-sdsdxxd-128g-gn4in	5	1
Thẻ Nhớ MicroSDXC SanDisk Extreme V30 A2 256GB 190MB/s SDSQXAV-256G-GN6MN	570.000 VND	750.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-sandisk-extreme-v30-a2-256gb-190mb-s-sdsqxav-256g-gn6mn	5	4
Thẻ Nhớ MicroSDXC Samsung Pro Ultimate U3 A2 128GB 200MB/s With Reader MB-MY128SB/WW	600.000 VND	790.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-samsung-pro-ultimate-u3-a2-128gb-200mb-s-with-reader-mb-my128sb-ww	0	0
Thẻ Nhớ MicroSDXC SanDisk GamePlay 256GB for Mobile Gaming 190MB/s SDSQXAV-256G-GN6XN	720.000 VND	990.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-sandisk-gameplay-256gb-for-mobile-gaming-190mb-s-sdsqxav-256g-gn6xn	0	0
Thẻ Nhớ MicroSDXC SanDisk Extreme Pro V30 A2 256GB 200MB/s SDSQXCD-256G-GN6MA	720.000 VND	950.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-sandisk-extreme-pro-v30-a2-256gb-200mb-s-sdsqxcd-256g-gn6ma	5	5
Thẻ Nhớ MicroSDXC Samsung Pro Ultimate U3 A2 256GB 200MB/s With SD Adapter MB-MY256SA/WW	790.000 VND	990.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-samsung-pro-ultimate-u3-a2-256gb-200mb-s-with-sd-adapter-mb-my256sa-ww	0	0
Thẻ Nhớ CompactFlash (CF) SanDisk Extreme 32GB 800X SDCFXSB-032G-G46	790.000 VND	990.000 VND	https://memoryzone.com.vn/sandisk-extreme-compactflash-800x-32gb	5	2
Thẻ nhớ MicroSDXC SanDisk Ultra A1 512GB 150MB/s SDSQUAC-512G-GN6MN	890.000 VND	1.050.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-sandisk-ultra-a1-512gb-150mb-s-sdsquac-512g-gn6mn	5	1
Thẻ Nhớ MicroSDXC Samsung Pro Ultimate U3 A2 256GB 200MB/s With Reader MB-MY256SB/WW	950.000 VND	1.290.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-samsung-pro-ultimate-u3-a2-256gb-200mb-s-with-reader-mb-my256sb-ww	0	0
Thẻ Nhớ CompactFlash (CF) SanDisk Extreme Pro 32GB 1067X SDCFXPS-032G-X46	1.030.000 VND	1.190.000 VND	https://memoryzone.com.vn/sandisk-compactflash-extreme-pro-160mbs-32gb	5	1
Thẻ nhớ SDXC Samsung Pro Plus U3 256GB 180MB/s MB-SD256S/APC	1.090.000 VND	1.390.000 VND	https://memoryzone.com.vn/the-nho-sdxc-samsung-pro-plus-u3-256gb-180mb-s-mb-sd256s-apc	0	0
Thẻ Nhớ MicroSDXC SanDisk Extreme V30 A2 512GB 190MB/s SDSQXAV-512G-GN6MN	1.090.000 VND	1.350.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-sandisk-extreme-v30-a2-512gb-190mb-s-sdsqxav-512g-gn6mn	5	1
Thẻ Nhớ MicroSDXC Samsung EVO Plus 2024 512GB 160MB/s With SD Adapter MB-MC512SA/APC	1.150.000 VND	1.450.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-samsung-evo-plus-2024-512gb-160mb-s-with-sd-adapter-mb-mc512sa-apc	0	0
Thẻ nhớ SDXC SanDisk Extreme Pro U3 V30 256GB 200MB/s SDSDXXD-256G-GN4IN	1.150.000 VND	1.450.000 VND	https://memoryzone.com.vn/the-nho-sdxc-sandisk-extreme-pro-u3-v30-256gb-200mb-s-sdsdxxd-256g-gn4in	5	1
Thẻ Nhớ CompactFlash (CF) SanDisk Extreme 64GB 800X SDCFXSB-064G-G46	1.150.000 VND	1.350.000 VND	https://memoryzone.com.vn/sandisk-extreme-compactflash-800x-64gb	5	2
Thẻ Nhớ MicroSDXC SanDisk Extreme Pro V30 A2 512GB 200MB/s SDSQXCD-512G-GN6MA	1.350.000 VND	1.590.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-sandisk-extreme-pro-v30-a2-512gb-200mb-s-sdsqxcd-512g-gn6ma	4	2
Thẻ Nhớ MicroSDXC SanDisk GamePlay 512GB for Mobile Gaming 190MB/s SDSQXAV-512G-GN6XN	1.450.000 VND	1.690.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-sandisk-gameplay-512gb-for-mobile-gaming-190mb-s-sdsqxav-512g-gn6xn	0	0
Thẻ Nhớ MicroSDXC Samsung Pro Ultimate U3 A2 512GB 200MB/s With SD Adapter MB-MY512SA/WW	1.490.000 VND	1.850.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-samsung-pro-ultimate-u3-a2-512gb-200mb-s-with-sd-adapter-mb-my512sa-ww	0	0
Thẻ nhớ Cfast 2.0 Lexar Professional 3500x 64GB LC64GCRBAP3500	1.650.000 VND	1.990.000 VND	https://memoryzone.com.vn/the-nho-cfast-2-0-lexar-professional-3500x-64gb-lc128crbap3500	5	1
Thẻ Nhớ MicroSDXC Samsung Pro Ultimate U3 A2 512GB 200MB/s With Reader MB-MY512SB/WW	1.690.000 VND	2.150.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-samsung-pro-ultimate-u3-a2-512gb-200mb-s-with-reader-mb-my512sb-ww	0	0
Thẻ nhớ SDXC SanDisk Extreme Pro UHS-II U3 64GB 300MB/s SDSDXDK-064G-GN4IN	1.950.000 VND	2.350.000 VND	https://memoryzone.com.vn/the-nho-sdxc-sandisk-extreme-pro-uhs-ii-u3-64gb-300mb-s-sdsdxdk-064g-gn4in	0	0
Thẻ Nhớ MicroSDXC SanDisk Extreme V30 A2 1TB 190MB/s SDSQXAV-1T00-GN6MN	2.450.000 VND	2.850.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-sandisk-extreme-v30-a2-1tb-190mb-s-sdsqxav-1t00-gn6mn	5	3
Thẻ nhớ CFexpress Lexar Professional 80GB Type A GOLD Series LCAGOLD080G-RNENG	2.650.000 VND	3.150.000 VND	https://memoryzone.com.vn/the-nho-cfexpress-lexar-professional-80gb-type-a-gold-series-lcagold080g-rneng	0	0
Thẻ nhớ Cfast 2.0 Lexar Professional 3500x 128GB LC128CRBEU3500	2.900.000 VND	3.490.000 VND	https://memoryzone.com.vn/the-nho-cfast-2-0-lexar-professional-3500x-128gb-lc128crbeu3500	0	0
Thẻ Nhớ MicroSDXC SanDisk GamePlay 1TB for Mobile Gaming 190MB/s SDSQXAV-1T00-GN6XN	2.990.000 VND	3.450.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-sandisk-gameplay-1tb-for-mobile-gaming-190mb-s-sdsqxav-1t00-gn6xn	0	0
Thẻ Nhớ MicroSDXC SanDisk Extreme Pro V30 A2 1TB 200MB/s SDSQXCD-1T00-GN6MA	2.990.000 VND	3.750.000 VND	https://memoryzone.com.vn/the-nho-microsdxc-sandisk-extreme-pro-v30-a2-1tb-200mb-s-sdsqxcd-1t00-gn6ma	4	9
Thẻ nhớ CFexpress Lexar Professional 128GB Type B GOLD Series LCXEXPR128G-RNENG	3.050.000 VND	3.505.000 VND	https://memoryzone.com.vn/the-nho-cfexpress-lexar-professional-128gb-type-b-gold-series-lcxexpr128g-rneng	0	0
Thẻ nhớ SDXC Lexar Professional 2000x UHS-II U3 128GB 300MB/s GOLD Series LSD2000128G-BNNNG	3.350.000 VND	3.900.000 VND	https://memoryzone.com.vn/the-nho-sdxc-lexar-professional-2000x-uhs-ii-u3-128gb-300mb-s-gold-series-lsd2000128g-bnnng	0	0
Thẻ nhớ CFexpress Lexar Professional 160GB Type A GOLD Series LCAGOLD160G-RNENG	3.800.000 VND	4.550.000 VND	https://memoryzone.com.vn/the-nho-cfexpress-lexar-professional-160gb-type-a-gold-series-lcagold160g-rneng	0	0
Thẻ nhớ Cfast 2.0 Lexar Professional 3500x 256GB LC256CRBEU3500	4.150.000 VND	5.690.000 VND	https://memoryzone.com.vn/the-nho-cfast-2-0-lexar-professional-3500x-256gb-lc256crbeu3500	0	0
Thẻ nhớ SDXC Lexar Professional 2000x UHS-II U3 256GB 300MB/s GOLD Series LSD2000256G-BNNNG	5.300.000 VND	6.500.000 VND	https://memoryzone.com.vn/the-nho-sdxc-lexar-professional-2000x-uhs-ii-u3-256gb-300mb-s-gold-series-lsd2000256g-bnnng	0	0
Thẻ nhớ CFexpress Lexar Professional 320GB Type A GOLD Series LCAGOLD320G-RNENG	7.700.000 VND	9.490.000 VND	https://memoryzone.com.vn/the-nho-cfexpress-lexar-professional-320gb-type-a-gold-series-lcagold320g-rneng	0	0
