Name	Current price	Original price	Link	Rating	Rate Count
Chuột có dây Logitech B100 910-006605	80.000 VND	130.000 VND	https://memoryzone.com.vn/chuot-co-day-logitech-b100-910-006605	0	0
Chuột không dây Dell WM118 DELL-WM118-BK	120.000 VND	220.000 VND	https://memoryzone.com.vn/chuot-khong-day-dell-wm118-dell-wm118-bk	5	3
Bàn phím Logitech K120 920-002582	160.000 VND	190.000 VND	https://memoryzone.com.vn/ban-phim-logitech-k120-920-002582	5	2
Lót chuột Corsair MM100 Medium CH-9100020-WW	165.000 VND	205.000 VND	https://memoryzone.com.vn/lot-chuot-corsair-mm100-medium-ch-9100020-ww	0	0
Lót chuột Logitech Studio Series	185.000 VND	235.000 VND	https://memoryzone.com.vn/lot-chuot-logitech-studio-series	0	0
USB Receiver Logitech Logi Bolt 956-000009	230.000 VND	290.000 VND	https://memoryzone.com.vn/usb-receiver-logitech-logi-bolt-956-000009	0	0
Lót chuột Akko Dracula Castle XXL	250.000 VND	590.000 VND	https://memoryzone.com.vn/lot-chuot-akko-dracula-castle-xxl	0	0
Lót chuột Razer Gigantus V2	290.000 VND	590.000 VND	https://memoryzone.com.vn/lot-chuot-razer-gigantus-v2	0	0
Lót chuột Razer Pro Glide RZ02-03331500-R3M1	290.000 VND	490.000 VND	https://memoryzone.com.vn/lot-chuot-razer-pro-glide-rz02-03331500-r3m1	0	0
Chuột không dây Logitech M325S	360.000 VND	490.000 VND	https://memoryzone.com.vn/chuot-khong-day-logitech-m325s	0	0
Bàn phím cơ AOC GK480 RGB Light FX Rainbow	390.000 VND	790.000 VND	https://memoryzone.com.vn/ban-phim-co-aoc-gk480-rgb-light-fx-rainbow	0	0
Lót chuột Razer Sphex V3 Ultra thin	390.000 VND	500.000 VND	https://memoryzone.com.vn/lot-chuot-razer-sphex-v3-ultra-thin	0	0
Chuột Corsair Katar PRO CH-930C011-AP	390.000 VND	490.000 VND	https://memoryzone.com.vn/chuot-corsair-katar-pro-ch-930c011-ap	4	4
Chuột Gaming Razer DeathAdder Essential	400.000 VND	790.000 VND	https://memoryzone.com.vn/chuot-gaming-razer-deathadder-essential	4	8
Combo Bàn Phím và Chuột không dây Logitech MK220 920-003235	410.000 VND	550.000 VND	https://memoryzone.com.vn/combo-ban-phim-va-chuot-khong-day-logitech-mk220-920-003235	0	0
Chuột Corsair Harpoon RGB PRO CH-9301111-AP	450.000 VND	590.000 VND	https://memoryzone.com.vn/chuot-corsair-harpoon-rgb-pro-ch-9301111-ap	5	4
Tai Nghe Gaming AOC GH300 RGB 7.1	490.000 VND	790.000 VND	https://memoryzone.com.vn/tai-nghe-gaming-aoc-gh300-rgb-7-1	0	0
Bàn phím cơ TKL DareU EK87 V2 White D Switch Red / Blue / Brown	490.000 VND	690.000 VND	https://memoryzone.com.vn/ban-phim-co-tkl-dareu-ek87-v2-white-d-switch-red-blue-brown	0	0
Bàn phím cơ TKL Dareu EK87 V2 Black D Switch Red / Blue / Brown	490.000 VND	690.000 VND	https://memoryzone.com.vn/ban-phim-co-tkl-dareu-ek87-v2-black-d-switch-red-blue-brown	0	0
Combo Bàn Phím và Chuột không dây Logitech MK235 920-007937	490.000 VND	590.000 VND	https://memoryzone.com.vn/combo-ban-phim-va-chuot-khong-day-logitech-mk235-920-007937	0	0
Combo Bàn Phím và Chuột không dây Logitech MK240 920-008202	490.000 VND	590.000 VND	https://memoryzone.com.vn/combo-ban-phim-va-chuot-khong-day-logitech-mk240-920-008202	0	0
Bàn phím cơ AOC GK500 RGB	550.000 VND	890.000 VND	https://memoryzone.com.vn/ban-phim-co-aoc-gk500-rgb	0	0
Combo Bàn Phím và Chuột không dây Logitech MK295 Silent 920-009814	570.000 VND	690.000 VND	https://memoryzone.com.vn/combo-ban-phim-va-chuot-khong-day-logitech-mk295-silent-920-009814	5	1
Chuột không dây Logitech Signature M650 L	585.000 VND	750.000 VND	https://memoryzone.com.vn/chuot-khong-day-logitech-signature-m650-l	5	12
Chuột không dây Logitech Signature M650	585.000 VND	690.000 VND	https://memoryzone.com.vn/chuot-khong-day-logitech-signature-m650	4	24
Bàn phím cơ Dareu EK810 Black D Switch Red / Blue / Brown	590.000 VND	700.000 VND	https://memoryzone.com.vn/ban-phim-co-dareu-ek810-black-d-switch-red-blue-brown	0	0
Lót chuột Razer Strider	690.000 VND	890.000 VND	https://memoryzone.com.vn/lot-chuot-razer-strider	0	0
Chuột không dây Logitech Lightspeed G304	730.000 VND	990.000 VND	https://memoryzone.com.vn/chuot-khong-day-logitech-lightspeed-g304	5	10
Lót chuột Razer Pro Glide XXL RZ02-03332300-R3M1	750.000 VND	980.000 VND	https://memoryzone.com.vn/lot-chuot-razer-pro-glide-xxl-rz02-03332300-r3m1	0	0
Chuột Gaming không dây Asus TUF Gaming M4 Wireless 90MP02F0-BMUA00	790.000 VND	1.090.000 VND	https://memoryzone.com.vn/chuot-gaming-khong-day-asus-tuf-gaming-m4-wireless-90mp02f0-bmua00	0	0
Tai Nghe Gaming HyperX Cloud Earbuds II Black 70N24AA	835.000 VND	1.090.000 VND	https://memoryzone.com.vn/tai-nghe-gaming-hyperx-cloud-earbuds-ii-black-70n24aa	0	0
Tai Nghe Gaming HyperX Cloud Earbuds II 705L8AA	835.000 VND	1.090.000 VND	https://memoryzone.com.vn/tai-nghe-gaming-hyperx-cloud-earbuds-ii-705l8aa	0	0
Tai Nghe Gaming ASUS ROG Cetra II Core 90YH02V0-B2UA00	840.000 VND	1.190.000 VND	https://memoryzone.com.vn/tai-nghe-gaming-asus-rog-cetra-ii-core-90yh02v0-b2ua00	0	0
Chuột Gaming Razer Cobra RZ01-04650100-R3M1	850.000 VND	1.049.000 VND	https://memoryzone.com.vn/chuot-gaming-razer-cobra-rz01-04650100-r3m1	0	0
Chuột Gaming không dây Razer DeathAdder V2 X HyperSpeed RZ01-04130100-R3A1	885.000 VND	1.990.000 VND	https://memoryzone.com.vn/chuot-gaming-khong-day-razer-deathadder-v2-x-hyperspeed-rz01-04130100-r3a1	5	5
Chuột không dây Logitech M720 Triathlon Black 910-004792	890.000 VND	1.150.000 VND	https://memoryzone.com.vn/chuot-khong-day-logitech-m720-triathlon-black-910-004792	0	0
Tai Nghe Gaming Logitech G333	890.000 VND	1.190.000 VND	https://memoryzone.com.vn/tai-nghe-gaming-logitech-g333	0	0
Tai Nghe Gaming Corsair HS55 Stereo	930.000 VND	1.290.000 VND	https://memoryzone.com.vn/tai-nghe-gaming-corsair-hs55-stereo	0	0
Chuột Gaming Razer Basilisk V3 RZ01-04000100-R3M1	945.000 VND	1.590.000 VND	https://memoryzone.com.vn/chuot-gaming-razer-basilisk-v3-rz01-04000100-r3m1	0	0
Chuột gaming Logitech HIGH PERFORMANCE HERO G502 910-005472	950.000 VND	1.290.000 VND	https://memoryzone.com.vn/chuot-gaming-logitech-high-performance-hero-g502-910-005472	5	3
Lót chuột Razer Goliathus Chroma RGB RZ02-02500100-R3M1	990.000 VND	1.590.000 VND	https://memoryzone.com.vn/lot-chuot-razer-goliathus-chroma-rgb-rz02-02500100-r3m1	0	0
Bàn phím cơ không dây Dareu EK75 Pro Triple Mode Black-Golden Dareu Switch	990.000 VND	1.290.000 VND	https://memoryzone.com.vn/ban-phim-co-khong-day-dareu-ek75-pro-triple-mode-black-golden-dareu-switch	5	1
Bàn phím cơ AKKO MonsGeek MG75 Prunus Lannesiana (Akko Sw V3)	990.000 VND	1.290.000 VND	https://memoryzone.com.vn/ban-phim-co-akko-monsgeek-mg75-prunus-lannesiana-akko-sw-v3	0	0
Bàn phím cơ TKL không dây AKKO 3087 RF White on Black (AKKO Sw V3)	990.000 VND	1.590.000 VND	https://memoryzone.com.vn/ban-phim-co-tkl-khong-day-akko-3087-rf-white-on-black-akko-sw-v3	0	0
Bàn phím cơ TKL không dây AKKO 3087 RF Black on White (AKKO Sw V3)	990.000 VND	1.590.000 VND	https://memoryzone.com.vn/ban-phim-co-akko-3087-rf-black-on-white-akko-sw-v3	0	0
Tai Nghe Gaming Razer BlackShark V2 X 7.1 Surround	990.000 VND	1.990.000 VND	https://memoryzone.com.vn/tai-nghe-gaming-razer-blackshark-v2-x-7-1-surround	5	3
Bàn phím cơ không dây AKKO 3108 RF Black on White (AKKO Sw V3)	1.090.000 VND	1.690.000 VND	https://memoryzone.com.vn/ban-phim-co-khong-day-akko-3108-rf-black-on-white-akko-sw-v3	0	0
Chuột không dây Razer Pro Click Mini RZ01-03990100-R3A1	1.090.000 VND	2.490.000 VND	https://memoryzone.com.vn/chuot-khong-day-razer-pro-click-mini-rz01-03990100-r3a1	5	2
Lót chuột Razer Firefly V2 RGB RZ02-03020100-R3M1	1.090.000 VND	1.790.000 VND	https://memoryzone.com.vn/lot-chuot-razer-firefly-v2-rgb-rz02-03020100-r3m1	0	0
Combo Bàn Phím và Chuột không dây Logitech MK470 Slim White 920-009183	1.150.000 VND	1.350.000 VND	https://memoryzone.com.vn/combo-ban-phim-va-chuot-khong-day-logitech-mk470-slim-white-920-009183	0	0
Combo Bàn Phím và Chuột không dây Logitech MK470 Slim 920-009182	1.150.000 VND	1.350.000 VND	https://memoryzone.com.vn/combo-ban-phim-va-chuot-khong-day-logitech-mk470-slim-920-009182	0	0
Loa Alpha Works W38 AW-W38	1.290.000 VND	1.490.000 VND	https://memoryzone.com.vn/loa-alpha-works-w38-aw-w38	0	0
Tai Nghe Bluetooth JBL Wave Beam	1.290.000 VND	1.490.000 VND	https://memoryzone.com.vn/tai-nghe-bluetooth-jbl-wave-beam	0	0
Chuột không dây Corsair DARK CORE RGB PRO CH-9315411-AP	1.290.000 VND	2.250.000 VND	https://memoryzone.com.vn/chuot-khong-day-corsair-dark-core-rgb-pro-ch-9315411-ap	5	1
Lót chuột Razer Goliathus Chroma RGB Extended Quartz RZ02-02500316-R3M1	1.390.000 VND	1.990.000 VND	https://memoryzone.com.vn/lot-chuot-razer-goliathus-chroma-rgb-extended-quartz-rz02-02500316-r3m1	0	0
Lót chuột Razer Goliathus Chroma RGB Extended Mercury RZ02-02500314-R3M1	1.390.000 VND	1.990.000 VND	https://memoryzone.com.vn/lot-chuot-razer-goliathus-chroma-rgb-extended-mercury-rz02-02500314-r3m1	0	0
Chuột không dây Razer Pro Click Humanscale RZ01-02990100-R3M1	1.390.000 VND	2.590.000 VND	https://memoryzone.com.vn/chuot-khong-day-razer-pro-click-humanscale-rz01-02990100-r3m1	0	0
Bàn phím cơ TKL Logitech G413 SE 920-010448	1.390.000 VND	1.590.000 VND	https://memoryzone.com.vn/ban-phim-co-tkl-logitech-g413-se-920-010448	0	0
Bàn phím cơ không dây AKKO 5075B Plus White RGB (AKKO Sw V3 Pro)	1.450.000 VND	2.090.000 VND	https://memoryzone.com.vn/ban-phim-co-khong-day-akko-5075b-plus-white-rgb-akko-sw-v3-pro	0	0
Bàn phím cơ không dây AKKO 3098B Plus Black RGB (AKKO Sw V3 Pro)	1.490.000 VND	2.090.000 VND	https://memoryzone.com.vn/ban-phim-co-khong-day-akko-3098b-plus-black-rgb-akko-sw-v3-pro	0	0
Chuột không dây Logitech MX Anywhere 3S	1.490.000 VND	1.890.000 VND	https://memoryzone.com.vn/chuot-khong-day-logitech-mx-anywhere-3s	5	5
Chuột không dây Dell Premier Rechargeable MS7421W	1.490.000 VND	1.790.000 VND	https://memoryzone.com.vn/chuot-khong-day-dell-premier-rechargeable-ms7421w	0	0
Chuột Gaming Razer DeathAdder V3 Ultra-lightweight RZ01-04640100-R3M1	1.490.000 VND	1.990.000 VND	https://memoryzone.com.vn/chuot-gaming-razer-deathadder-v3-ultra-lightweight-rz01-04640100-r3m1	0	0
Tai Nghe Gaming không dây Corsair HS55 Wireless Core Bluetooth CA-9011290-AP	1.490.000 VND	2.190.000 VND	https://memoryzone.com.vn/tai-nghe-gaming-khong-day-corsair-hs55-wireless-core-bluetooth-ca-9011290-ap	0	0
Lót chuột Razer Goliathus Chroma RGB Extended Black RZ02-02500300-R3M1	1.490.000 VND	1.890.000 VND	https://memoryzone.com.vn/lot-chuot-razer-goliathus-chroma-rgb-extended-black-rz02-02500300-r3m1	5	1
Chuột Gaming không dây Razer Basilisk V3 X HyperSpeed RZ01-04870100-R3A1	1.540.000 VND	2.090.000 VND	https://memoryzone.com.vn/chuot-gaming-khong-day-razer-basilisk-v3-x-hyperspeed-rz01-04870100-r3a1	0	0
Tai Nghe Bluetooth ASUS ROG Cetra True Wireless	1.590.000 VND	2.190.000 VND	https://memoryzone.com.vn/tai-nghe-bluetooth-asus-rog-cetra-true-wireless	0	0
